Código Localidad;Barrio;Corregimiento;Municipio;Departamento;País
10460;EL TABOR;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
12500;AVENIDA RIBON;SABANALARGA;SABANALARGA;ATLANTICO;COLOMBIA
12750;VILLA CLARENTINA;SANTO TOMAS;SANTO TOMAS;ATLANTICO;COLOMBIA
13550;NUEVO HIPODROMO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
30644;PUERTO VELERO;PUERTO VELERO;TUBARA;ATLANTICO;COLOMBIA
19080;EL SILENCIO;PLATO;PLATO;MAGDALENA;COLOMBIA
10540;JUAN MINA;CGTO JUAN MINA;BARRANQUILLA;ATLANTICO;COLOMBIA
8470;QUEBRADA TAMACA;SANTA MARTA;SANTA MARTA;MAGDALENA;COLOMBIA
13490;URB. PARQUE MUVDI;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
-12;SITIO NUEVO;SITIO NUEVO;MO¥ITOS;CORDOBA;COLOMBIA
5;V?A A CERROMATOSO;MONTELIBANO;MONTELIBANO;CORDOBA;COLOMBIA
107167;BOLIVAR;PLANETA RICA;PLANETA RICA;CORDOBA;COLOMBIA
4610;PIE DEL CERRO;CARTAGENA;CARTAGENA;BOLIVAR;COLOMBIA
12270;LA MARIA;SABANAGRANDE;SABANAGRANDE;ATLANTICO;COLOMBIA
11490;EL TESORO;MALAMBO;MALAMBO;ATLANTICO;COLOMBIA
9940;LA LIBERTAD;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10040;ABAJO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10170;AMERICA;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10280;LAS FLORES;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
10430;EL POBLADO;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
12730;PRIMERO DE MAYO;SANTO TOMAS;SANTO TOMAS;ATLANTICO;COLOMBIA
12860;LAS CAYENAS;SANTO TOMAS;SANTO TOMAS;ATLANTICO;COLOMBIA
13650;LOMA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
13780;LOS MANGOS;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
14170;LA DOCE;USIACURI;USIACURI;ATLANTICO;COLOMBIA
29315;EL CERRITO RURAL;VDA EL CERRITO;PIOJO;ATLANTICO;COLOMBIA
29359;URB EL BOSQUE;SANTA ROSA DEL SUR;SANTA ROSA DEL SUR;BOLIVAR;COLOMBIA
30500;DON BOSCO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
30580;LA BODEGA;SAN JUAN NEPOMUCENO;SAN JUAN NEPOMUCENO;BOLIVAR;COLOMBIA
30611;URB. PRADO;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
8390;BRISAS DEL MAR;CIENAGA;CIENAGA;MAGDALENA;COLOMBIA
21060;CALLE EL MAMON;TURBANA;TURBANA;BOLIVAR;COLOMBIA
13060;VILLA ESTADIO 1 ETAPA;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
340;LUZ DEL MUNDO;SANTA MARTA;SANTA MARTA;MAGDALENA;COLOMBIA
9350;UNIVERSAL;BARRANQUILLA;BARRANQUILLA;ATLANTICO;COLOMBIA
81400;MACHIQUES;AGUSTIN CODAZZI;AGUSTIN CODAZZI;CESAR;COLOMBIA
107171;LOS LAURELES;PLANETA RICA;PLANETA RICA;CORDOBA;COLOMBIA
11820;PITAL DEL CARLIN RURAL;PITAL DE CARLIN;POLONUEVO;ATLANTICO;COLOMBIA
10720;SAN CAYETANO;BARANOA;BARANOA;ATLANTICO;COLOMBIA
111701;PUNTA DE PIEDRA;TOLUVIEJO;TOLUVIEJO;SUCRE;COLOMBIA
111703;BUGRE;VDA BUGRE (VACIO);CERETE;CORDOBA;COLOMBIA
111704;EL SILENCIO;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111705;EL MUELLE;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111706;COSTA AZUL;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111707;NORTE ZONA 1;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111708;NORTE ZONA 2;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111709;CENTRO 1;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111710;CENTRO 2;PUERTO COLOMBIA;PUERTO COLOMBIA;ATLANTICO;COLOMBIA
111737;CUATRO VIENTOS;CAS TREMENTINO;MOMIL;CORDOBA;COLOMBIA
111742;URB. CIUDAD SALITRE;SOLEDAD;SOLEDAD;ATLANTICO;COLOMBIA
111791;SAN ISIDRO;SAN ISIDRO;SANTA ROSA DEL SUR;BOLIVAR;COLOMBIA
111793;URB MARATEA-SECTOR VILLANORTE;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
111829;VDA LA PUENTE;CGTO LAS PALOMAS;MONTERIA;CORDOBA;COLOMBIA
111851;URB LOS LAURELES;FUNDACION;FUNDACION;MAGDALENA;COLOMBIA
111882;VDA TODOS PENSAMOS (CGTO TRES PIEDRAS);VDA TODOS PENSAMOS (MONTER?A);TIERRALTA;CORDOBA;COLOMBIA
112918;COSTA LARGA RURAL;COSTA LARGA;PURISIMA;CORDOBA;COLOMBIA
113661;QUEBRACHAL;QUEBRACHAL;FONSECA;LA GUAJIRA;COLOMBIA
113881;VIA AL AEROPUERTO;MONTELIBANO RURAL;MONTELIBANO;CORDOBA;COLOMBIA
113919;SBN VILLA JIMENEZ;MONTERIA;MONTERIA;CORDOBA;COLOMBIA
113992;LA OLLITA;CUESTECITAS;ALBANIA;LA GUAJIRA;COLOMBIA
114046;CASERIO EL TRONCAL;CGTO LA COROZA;PUEBLO NUEVO;CORDOBA;COLOMBIA
114129;LA INVERNA RURAL;VDA  LA INVERNA;CHIMICHAGUA;CESAR;COLOMBIA
114133;VILLA PRADA;VALENCIA;VALENCIA;CORDOBA;COLOMBIA
114141;VDA MARIMBA;CGTO CENTRO ALEGRE;PLANETA RICA;CORDOBA;COLOMBIA
114215;GRANDE;SANTO TOMAS;SANTO TOMAS;ATLANTICO;COLOMBIA
114223;PALO ALTO;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
114224;EL POBLADO;CIENAGA;CIENAGA;MAGDALENA;COLOMBIA
114225;OLAYA;EDUARDO SANTOS (LA PLAYA);BARRANQUILLA;ATLANTICO;COLOMBIA
114228;CENTRO;CGTO PUEBLO NUEVO;ARIGUANI;MAGDALENA;COLOMBIA
114232;LOS NOGALES;CGTO PUEBLO NUEVO;ARIGUANI;MAGDALENA;COLOMBIA
114241;EL AHUMAO;EL AHUMAO;RIOHACHA;LA GUAJIRA;COLOMBIA
